MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	凤翔
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	华山
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	剑阁西北
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金光洞迷宫
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	经皇洞迷宫
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	锁云洞迷宫
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	秦陵
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	秦始皇陵地下
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	长江源头
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	雁石洞迷宫
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	成都
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	信相寺后院地道迷宫
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	峨嵋派
14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	猛虎洞穴迷宫
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	讲经堂
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	前殿
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	正殿
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	左偏殿
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	剑阁西南
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	江津村
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	青城山
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	白云洞迷宫
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	神仙洞迷宫
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	响水洞迷宫
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	唐门
26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	竹丝洞一层
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	竹丝洞二层
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	竹丝洞三层
