Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí	Ãæ¾ß
Thanh §ång 	1		1	126	10	10	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	400000	400000	0	0	0	0	0	0	0	0	0	0
XÝch §ång 	1		2	126	20	20	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	350000	350000	0	0	0	0	0	0	0	0	0	0
Sinh ThiÕt	1		3	126	30	30	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	300000	300000	0	0	0	0	0	0	0	0	0	0
Tinh Cang	1		4	126	40	40	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	250000	250000	0	0	0	0	0	0	0	0	0	0
B¹ch Ng©n	1		5	126	50	50	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	200000	200000	0	0	0	0	0	0	0	0	0	0
ThuÇn Ng©n	1		6	126	60	60	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	190000	190000	0	0	0	0	0	0	0	0	0	0
Hoµng Kim	1		7	126	70	70	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	180000	180000	0	0	0	0	0	0	0	0	0	0
B¹ch Kim	1		8	126	80	80	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	170000	170000	0	0	0	0	0	0	0	0	0	0
VÉn ThiÕt	1		9	126	90	90	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	160000	160000	0	0	0	0	0	0	0	0	0	0
HuyÒn ThiÕt	1		10	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	150000	150000	0	0	0	0	0	0	0	0	0	0
Mòi nhän	1		1	166	10	30	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
§Ñp ®Ï	1		2	166	30	60	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
Vâ sÜ 	1		3	166	60	90	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
HiÖp kh¸ch	1		4	166	90	120	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
B¸ chñ 	1		5	166	120	150	-1	-1	0	0	T¨ng chÝnh x¸c	0	0	0	0	0	0	0	0	0	0	0	0
