等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验	7转附加经验
1	100								
2	500								
3	1000								
4	1500								
5	2000								
6	2500								
7	3000								
8	3500								
9	4000								
10	5000								
11	10000								
12	15000								
13	20000								
14	25000								
15	30000								
16	35000								
17	40000								
18	45000								
19	50000								
20	60000								
21	65000								
22	70000								
23	75000								
24	80000								
25	85000								
26	90000								
27	95000								
28	100000								
29	150000								
30	200000								
31	220000								
32	240000								
33	260000								
34	280000								
35	300000								
36	320000								
37	340000								
38	360000								
39	380000								
40	400000								
41	420000								
42	440000								
43	460000								
44	480000								
45	500000								
46	520000								
47	540000								
48	560000								
49	580000								
50	600000								
51	700000								
52	800000								
53	900000								
54	1000000								
55	1200000								
56	1400000								
57	1600000								
58	1800000								
59	2000000								
60	2200000								
61	2400000								
62	2600000								
63	2800000								
64	3000000								
65	3200000								
66	3400000								
67	3600000								
68	3800000								
69	4000000								
70	5000000								
71	6000000								
72	7000000								
73	8000000								
74	9000000								
75	10000000								
76	12000000								
77	14000000								
78	16000000								
79	18000000								
80	20000000							
81	30000000								
82	40000000								
83	50000000								
84	60000000								
85	70000000								
86	80000000								
87	90000000								
88	100000000								
89	110000000								
90	120000000								
91	130000000								
92	140000000								
93	150000000								
94	160000000								
95	170000000								
96	180000000								
97	190000000								
98	200000000								
99	250000000								
100	300000000								
101	350000000								15000
102	400000000								15000
103	450000000								15000
104	500000000								15000
105	550000000								15000
106	600000000								15000
107	650000000								15000
108	700000000								15000
109	750000000								15000
110	800000000								15000
111	850000000								34000
112	900000000								34000
113	950000000								34000
114	1000000000								34000
115	1100000000								34000
116	1200000000								34000
117	1300000000								34000
118	1400000000								34000
119	1500000000								34000
120	1600000000								34000
121	1700000000								50000
122	1800000000								50000
123	1900000000								50000
124	2000000000								50000
125	2000000000	200000							50000
126	2000000000	210000							68000
127	2000000000	220000							68000
128	2000000000	230000							68000
129	2000000000	240000							68000
130	2000000000	250000	16000	48000	64000	0	0	0	68000
131	2000000000	250000	16000	48000	64000	144000	144000	144000	224000
132	2000000000	300000	16000	48000	64000	144000	144000	144000	224000
133	2000000000	400000	16000	48000	64000	144000	144000	144000	224000
134	2000000000	500000	16000	48000	64000	144000	144000	144000	224000
135	2000000000	600000	20000	60000	80000	140000	140000	140000	220000
136	2000000000	700000	20000	60000	80000	180000	180000	180000	280000
137	2000000000	800000	20000	60000	80000	180000	180000	180000	280000
138	2000000000	900000	20000	60000	80000	180000	180000	180000	280000
139	2000000000	1000000	20000	60000	80000	180000	180000	180000	280000
140	2000000000	1100000	30000	90000	120000	170000	170000	170000	270000
141	2000000000	1200000	30000	90000	120000	270000	270000	270000	395000
142	2000000000	1300000	30000	90000	120000	270000	270000	270000	395000
143	2000000000	1400000	30000	90000	120000	270000	270000	270000	395000
144	2000000000	1500000	30000	90000	120000	270000	270000	270000	395000
145	2000000000	1600000	50000	150000	200000	250000	250000	250000	375000
146	2000000000	1700000	50000	150000	200000	450000	450000	450000	625000
147	2000000000	1800000	50000	150000	200000	450000	450000	450000	625000
148	2000000000	1900000	50000	150000	200000	450000	450000	450000	625000
149	2000000000	2000000	50000	150000	200000	450000	450000	450000	625000
150	2000000000	2100000	80000	240000	320000	420000	420000	420000	595000
151	2000000000	2200000	80000	240000	320000	720000	720000	720000	945000
152	2000000000	2300000	80000	240000	320000	720000	720000	720000	945000
153	2000000000	2400000	80000	240000	320000	720000	720000	720000	945000
154	2000000000	2500000	80000	240000	320000	720000	720000	720000	945000
155	2000000000	2600000	120000	360000	480000	680000	680000	680000	905000
156	2000000000	2700000	120000	360000	480000	1080000	1080000	1080000	1355000
157	2000000000	2800000	120000	360000	480000	1080000	1080000	1080000	1355000
158	2000000000	2900000	120000	360000	480000	1080000	1080000	1080000	1355000
159	2000000000	3000000	120000	360000	480000	1080000	1080000	1080000	1355000
160	2000000000	3100000	180000	540000	720000	1020000	1020000	1020000	1295000
161	2000000000	3200000	180000	540000	720000	1620000	1620000	1620000	1940000
162	2000000000	3300000	180000	540000	720000	1620000	1620000	1620000	1940000
163	2000000000	3400000	180000	540000	720000	1620000	1620000	1620000	1940000
164	2000000000	3500000	180000	540000	720000	1620000	1620000	1620000	1940000
165	2000000000	3600000	200000	600000	800000	1600000	1600000	1600000	1940000
166	2000000000	3700000	200000	600000	800000	1800000	1800000	1800000	2980000
167	2000000000	3800000	200000	600000	800000	1800000	1800000	1800000	2980000
168	2000000000	3900000	200000	600000	800000	1800000	1800000	1800000	2980000
169	2000000000	4000000	200000	600000	800000	1800000	2800000	2800000	3980000
170	2000000000	4100000	200000	600000	800000	1800000	2800000	2800000	3980000
171	2000000000	4200000	200000	600000	800000	1800000	2800000	2800000	4980000
172	2000000000	4300000	200000	600000	800000	1800000	2800000	2800000	4980000
173	2000000000	4400000	200000	600000	800000	1800000	2800000	2800000	4980000
174	2000000000	4500000	200000	600000	800000	1800000	2800000	2800000	4980000
175	2000000000	4600000	200000	600000	800000	1800000	2800000	2800000	4980000
176	2000000000	4700000	200000	600000	800000	1800000	2800000	2800000	6200000
177	2000000000	4800000	200000	600000	800000	1800000	2800000	2800000	6200000
178	2000000000	5800000	200000	600000	800000	1800000	2800000	2800000	6200000
179	2000000000	6800000	200000	600000	800000	1800000	2800000	2800000	6200000
180	2000000000	7800000	200000	600000	800000	1800000	2800000	2800000	6200000
181	2000000000	8800000	200000	600000	800000	1800000	2800000	2800000	8200000
182	2000000000	9800000	200000	600000	800000	1800000	2800000	2800000	8200000
183	2000000000	10800000	200000	600000	800000	1800000	2800000	2800000	8200000
184	2000000000	11800000	200000	600000	800000	1800000	2800000	2800000	8200000
185	2000000000	12800000	200000	600000	800000	1800000	2800000	2800000	8200000
186	2000000000	13800000	200000	600000	800000	1800000	2800000	2800000	10200000
187	2000000000	14800000	200000	600000	800000	1800000	2800000	2800000	10200000
188	2000000000	15800000	200000	600000	800000	1800000	2800000	2800000	10200000
189	2000000000	16800000	200000	600000	800000	1800000	2800000	2800000	10200000
190	2000000000	17800000	200000	600000	800000	1800000	2800000	2800000	10200000
191	2000000000	18800000	200000	600000	800000	1800000	2800000	2800000	19800000
192	2000000000	19800000	200000	600000	800000	1800000	2800000	2800000	19800000
193	2000000000	20800000	200000	600000	800000	1800000	2800000	2800000	19800000
194	2000000000	21800000	200000	600000	800000	1800000	2800000	2800000	19800000
195	2000000000	22800000	200000	600000	800000	1800000	2800000	2800000	19800000
196	2000000000	23800000	200000	600000	800000	1800000	2800000	2800000	39800000
197	2000000000	24800000	200000	600000	800000	1800000	2800000	2800000	39800000
198	2000000000	29800000	200000	600000	800000	1800000	2800000	2800000	39800000
199	2000000000	34800000	800000	1800000	1800000	1800000	5800000	39800000	39800000
200	2000000000	39800000	800000	1800000	1800000	3800000	5800000	39800000	39800000
