Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
Hång ¶nh B¶o R­¬ng	0	6	1	4923	0	1	0	9900000000
§éng S¸t B¶o R­¬ng	0	6	1	4924	0	1	0	9000000000
LÖnh bµi Boss §¹i Hoµng Kim	0	6	1	4916	0	1	0	3600000000
LÖnh bµi Boss §¹i Hoµng Kim	0	6	1	4916	0	1	0	3000000000
LÖnh bµi Boss §¹i Hoµng Kim	0	6	1	4916	0	1	0	3000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	2400000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1800000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1800000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1800000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1500000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1500000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1400000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1300000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1260400000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1200000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1200000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1100000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	1000000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	900000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	700000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	600000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	560000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	560000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	367700000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	240000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	200000000
Th­ T×nh Mói MÝt	0	6	1	4927	0	1	0	113140000
ThiÕt La H¸n	0	6	1	23	0	1	0	60000000
ThiÕt La H¸n	0	6	1	23	0	1	0	40000000
M· Bµi - Kim Tinh Hæ V­¬ng	0	6	1	4905	0	1	0	40000000
M· Bµi - Háa Tinh Hæ V­¬ng	0	6	1	4906	0	1	0	40000000
M· Bµi - Long Tinh H¾c Hæ V­¬ng	0	6	1	4907	0	1	0	40000000
M· Bµi - S­ tö	0	6	1	4908	0	1	0	33000000
M· Bµi - L¹c ®µ	0	6	1	4909	0	1	0	24000000
M· Bµi - D­¬ng §µ	0	6	1	4910	0	1	0	15000000
M· Bµi - H­¬u ®èm	0	6	1	4911	0	1	0	9000000
M· Bµi - D­¬ng Sa	0	6	1	4912	0	1	0	4000000
M· Bµi - Ngù Phong	0	6	1	4913	0	1	0	3500000
M· Bµi - Truy ®iÖn	0	6	1	4914	0	1	0	3000000
M· Bµi - L­u Tinh	0	6	1	4915	0	1	0	3000000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	3000000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	2250000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	1200000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	1200000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	1200000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	1000000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	800000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	800000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	800000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	800000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	800000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	600000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	500000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	500000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	500000
T©m T©m T­¬ng ¸nh phï 	0	6	1	18	0	1	0	300000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	150000
D©y Thõng	0	6	1	4892	0	1	0	100000
Cá T­¬i	0	6	1	4891	0	1	0	50000
Cá T­¬i	0	6	1	4891	0	1	0	50000
Cá T­¬i	0	6	1	4891	0	1	0	50000
Mai Kh«i Hoa Vò 	0	6	0	20	0	1	0	30000
Ph¸o Hoa	0	6	0	11	0	1	0	10000
