Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1000	§¹i Thµnh BÝ KÝp 120	0	6	1	2425	0	1	0	10000
1100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
1900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2000	Vâ L©m MËt TÞch lÔ bao	0	6	1	4920	0	1	0	10000
2100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
2900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3000	TÈy Tñy Kinh lÔ bao	0	6	1	4919	0	1	0	10000
3100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
3900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4000	B¶o R­¬ng TrÊn Bang	0	6	1	4904	0	1	0	10000
4100	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4200	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4300	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4400	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4500	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4600	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4700	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4800	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
4900	Tiªn Th¶o Lé ®Æc biÖt	0	6	1	1181	0	1	0	10000
5000	NhÊt Kû Cµn Kh«n Phï	0	6	1	2126	0	1	0	10000
